timestamp;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
1607598731773;54.199;292.151;573.027;233.204;0.0;true
1607598744895;32.989;296.04;1047.708;434.181;0.0;true
1607598758004;46.003;278.483;665.94;254.703;0.0;true
1607598797533;226.804;501.278;711.497;175.312;0.0;true
1607598828822;34.562;198.73;678.769;277.162;0.0;true
1607598867335;232.785;275.3;327.395;41.599;0.0;true
-1;-1;-1;-1;-1;100;false
1607599064441;32.13;616.254;1688.027;671.211;0.0;true
1607599072154;115.41;804.428;1063.181;398.372;0.0;true
1607599077641;37.743;477.864;974.578;431.041;0.0;true
1607599086574;37.672;189.655;543.33;206.481;0.0;true
1607599090778;30.474;126.902;402.709;159.282;0.0;true
1607599099755;31.36;51.894;109.447;33.24;0.0;true
1607599103880;32.272;431.778;878.999;398.853;0.0;true
1607599112858;32.033;64.464;127.945;38.065;0.0;true
1607599117062;31.41;1026.051;1933.396;677.625;0.0;true
1607599125998;31.383;58.103;124.875;38.662;0.0;true
1607599131908;31.149;86.862;165.549;50.89;0.0;true
1607599139137;33.519;516.001;1242.72;489.514;0.0;true
1607599145108;33.065;74.029;128.955;35.168;0.0;true
1607599152272;31.801;153.294;409.294;150.733;0.0;true
1607599158430;32.652;46.723;84.219;21.687;0.0;true
1607599165355;30.075;51.283;103.009;30.06;0.0;true
1607599171586;31.297;45.106;85.437;23.288;0.0;true
1607599178451;33.769;129.231;314.262;111.081;0.0;true
1607599184677;32.598;43.37;73.747;17.544;0.0;true
1607599191540;101.864;646.611;1320.268;441.864;0.0;true
1607599197786;31.789;64.797;120.342;33.276;0.0;true
1607599205257;30.488;62.226;124.188;37.729;0.0;true
1607599210883;31.912;53.227;87.311;22.616;0.0;true
1607599218494;106.089;708.572;1377.858;450.952;0.0;true
1607599223975;31.295;41.269;67.854;15.367;0.0;true
1607599233495;134.632;134.632;134.632;0.0;75.0;true
1607599237072;49.566;965.451;1880.358;661.776;0.0;true
1607599250125;30.147;56.158;114.999;34.668;0.0;true
1607599250184;32.231;37.505;49.801;7.16;0.0;true
1607599263300;34.011;222.881;705.536;280.652;0.0;true
1607599263310;32.789;218.303;695.715;277.409;0.0;true
1607599276394;31.519;54.317;118.305;36.956;0.0;true
1607599276405;31.881;53.645;116.389;36.231;0.0;true
1607599289490;51.082;146.854;364.849;128.209;0.0;true
1607599289496;46.216;142.681;360.176;128.12;0.0;true
1607599302599;30.672;39.896;54.101;10.192;25.0;true
1607599302615;30.809;40.411;56.862;11.687;25.0;true
1607599316700;33.796;209.885;501.259;187.409;0.0;true
1607599316714;31.56;202.755;492.056;185.706;0.0;true
1607599329834;31.994;58.731;101.96;28.686;0.0;true
1607599329818;32.225;61.45;105.825;30.295;0.0;true
1607599342922;31.503;73.208;125.782;39.001;0.0;true
1607599342930;31.818;72.476;124.109;38.542;0.0;true
1607599356022;29.682;51.893;112.387;34.951;0.0;true
1607599356039;31.331;51.719;111.135;34.306;0.0;true
1607599369167;31.71;52.602;111.347;33.928;0.0;true
1607599369164;31.941;52.667;113.604;35.184;0.0;true
1607599382334;31.752;43.832;57.634;10.919;0.0;true
1607599382339;32.072;43.463;56.114;10.445;0.0;true
1607599395448;31.231;58.011;127.305;40.121;0.0;true
1607599395439;30.429;55.723;124.791;39.904;0.0;true
1607599408546;30.261;69.532;130.316;41.434;0.0;true
1607599408554;31.944;67.49;123.48;37.439;0.0;true
1607599421646;32.21;56.432;102.116;28.288;0.0;true
1607599421654;31.373;58.922;106.244;30.618;0.0;true
1607599434752;33.073;52.265;108.139;32.261;0.0;true
1607599434800;33.399;41.712;65.335;13.647;0.0;true
1607599447934;32.106;47.621;89.235;24.069;0.0;true
1607599447942;31.887;47.482;84.311;21.37;0.0;true
1607599461052;99.511;424.673;647.21;232.061;0.0;true
1607599461068;86.081;411.078;633.186;231.685;0.0;true
1607599474467;30.079;65.735;125.038;38.323;0.0;true
1607599474649;32.462;38.683;55.918;9.962;0.0;true
1607599487799;36.578;1507.774;2978.971;1471.197;50.0;true
1607599487564;114.139;114.139;114.139;0.0;75.0;true
-1;-1;-1;-1;-1;100;false
1607599529148;111.742;1636.287;3153.227;1134.555;0.0;true
1607599542350;31.493;54.841;119.176;37.162;0.0;true
1607599555468;31.104;74.794;145.872;50.699;25.0;true
1607599569580;28.793;42.558;72.001;17.57;0.0;true
1607599582691;30.55;37.076;44.238;5.11;0.0;true
1607599596567;32.137;146.05;467.517;185.651;0.0;true
1607599609890;300.099;559.922;1313.879;435.36;0.0;true
1607599623406;36.056;44.093;52.407;5.915;0.0;true
1607599636571;43.904;262.75;693.522;304.614;25.0;true
1607599651060;29.407;65.135;163.573;56.898;0.0;true
1607599664165;29.478;62.361;135.077;42.334;0.0;true
1607599677514;38.505;40.757;45.445;2.769;0.0;true
1607599690774;32.641;45.75;63.384;11.468;0.0;true
1607599706886;37.278;48.573;73.867;14.72;0.0;true
1607599719992;32.442;65.704;152.286;50.276;0.0;true
1607599733106;44.888;370.944;1195.655;479.581;0.0;true
1607599746244;31.364;152.454;409.372;149.92;0.0;true
1607599759414;30.456;36.396;44.935;5.857;0.0;true
1607599772552;344.481;1312.234;2279.988;967.754;50.0;true
1607599789324;31.5;39.231;54.037;10.474;25.0;true
1607599803672;31.387;210.119;388.851;178.732;50.0;true
1607599817776;68.369;406.662;1082.279;477.733;25.0;true
1607599831873;30.104;53.179;105.051;30.297;0.0;true
1607599844992;31.802;48.178;61.489;11.417;0.0;true
1607599858142;282.194;1044.274;1805.231;581.219;0.0;true
1607599875941;32.059;69.75;125.362;34.229;0.0;true
1607599889048;42.264;146.164;358.097;126.108;0.0;true
1607599902190;31.846;71.444;126.027;34.131;0.0;true
